==================== Design Variables ====================
      NAME VALUE MINIMUM MAXIMUM DESCRIPTION              
 pcentBell    70      70      90 Percent Bell of Nozzle   
        ko 0.035   0.035    0.05 Entrainment Constant     
        pc   500     300     500 Chamber Pressure  (psia) 
==========================================================
""
Lprime vs pcentFFC,
Lprime,LinjToExit = 6,LinjToExit = 7,LinjToExit = 8
1.0,8.52660010046713,8.590867693797644,8.639713759538846
1.1,9.387280047672498,9.459990273089113,9.515406086204814
1.2000000000000002,10.248592959105963,10.33055274918957,10.392907542927576
1.3000000000000003,11.110655532172697,11.20244937402325,11.272130012262437
1.4000000000000004,11.973318853635496,12.075568192029696,12.15297997328908
1.5000000000000004,12.836430441707735,12.949795344587201,13.035362981947252
1.6000000000000005,13.699831485664916,13.825012358086063,13.919180967332368
1.7000000000000006,14.563356886263657,14.701096518550216,14.804332710426138
1.8000000000000007,15.426834691759517,15.577920688799606,15.690713722898053
1.9000000000000008,16.290085529362884,16.455353241576777,16.57778802615009
2.000000000000001,17.152922245087044,17.333256690401335,17.46559070370376
,
