==================== Design Variables =====================
       NAME VALUE MINIMUM MAXIMUM DESCRIPTION              
 LinjToExit     7       6       9 Lprime + Lnoz  (in)      
         ko 0.035   0.035    0.05 Entrainment Constant     
         pc   500     300     500 Chamber Pressure  (psia) 
===========================================================
""
Lprime vs eps,
Lprime,pcentBell = 60,pcentBell = 70,pcentBell = 80
1.0,24.30493516118778,19.133242461628637,15.598514097719612
1.1,23.640116214887993,18.625543543567296,15.197565903348114
1.2000000000000002,22.984795105625494,18.12487135818385,14.80201280439243
1.3000000000000003,22.338967446374706,17.63123245264056,14.41184361203522
1.4000000000000004,21.702628586488444,17.144626169471106,14.02705416183092
1.5000000000000004,21.0757735560393,16.66505168605178,13.647232329167869
1.6000000000000005,20.458397108143814,16.192507587211203,13.272745579909817
1.7000000000000006,19.850032543616777,15.726992158297778,12.903629277640947
1.8000000000000007,19.249769127913062,15.268503371892757,12.539886738066656
1.9000000000000008,18.659024649202777,14.817046497099582,12.181520694805481
2.000000000000001,18.077821671791146,14.372595926092666,11.828533304745527
,
