==================== Design Variables =====================
       NAME VALUE MINIMUM MAXIMUM DESCRIPTION              
 LinjToExit     7       6       9 Lprime + Lnoz  (in)      
         ko 0.035   0.035    0.05 Entrainment Constant     
         pc   500     300     500 Chamber Pressure  (psia) 
===========================================================
""
Lprime vs pcentFFC,
Lprime,pcentBell = 60,pcentBell = 70,pcentBell = 80
1.0,8.576406888401532,8.590867693797644,8.582306266997675
1.1,9.444432129690227,9.459990273089113,9.450488186354267
1.2000000000000002,10.313981854140064,10.33055274918957,10.320096065527117
1.3000000000000003,11.184955418937747,11.20244937402325,11.19102351453657
1.4000000000000004,12.057246132864929,12.075568192029696,12.063157916322876
1.5000000000000004,12.930745304302372,12.949795344587201,12.936103123157727
1.6000000000000005,13.805339655881477,13.825012358086063,13.8099272019087
1.7000000000000006,14.680685885540623,14.701096518550216,14.684520158585945
1.8000000000000007,15.556107992295276,15.577920688799606,15.55974897042034
1.9000000000000008,16.432106758185718,16.455353241576777,16.435475958801337
2.000000000000001,17.308547056281533,17.333256690401335,17.311558772279547
,
