=========== Design Variables ===========
 NAME VALUE MINIMUM MAXIMUM DESCRIPTION 
========================================
""
PengInOx vs MR,
PengInOx,PengInFuel = 250,PengInFuel = 275,PengInFuel = 300,PengInFuel = 325,PengInFuel = 350
250.0,1.913220447063531,1.7119702630685107,1.555390640594717,1.4303547544267938,1.3281057808071006
255.0,1.9590919196131062,1.7522475136670568,1.591199389231975,1.462620498315142,1.3575401925329487
260.0,2.004909281462253,1.7925269496663245,1.6270267590060736,1.4948956143490344,1.3869693886627057
265.0,2.05065759035902,1.832792498455504,1.6628646853687672,1.5271768620792565,1.416392219128708
270.0,2.0963253435632225,1.8730285365466293,1.6987042783897492,1.5594605198714588,1.445807309518699
275.0,2.1419041853429586,1.913220447063531,1.734535953792129,1.5917424088504162,1.4752130459023058
280.0,2.187388559923196,1.9533550955374466,1.7703496229711673,1.6240178363182796,1.5046075469688884
285.0,2.2327752964601832,1.9934211339855494,1.8061349527413968,1.6562816045600945,1.533988712725369
290.0,2.278063083782795,2.033409163095241,1.8418816784535725,1.688527992572891,1.5633541360361412
295.0,2.323252170621684,2.0733117399910843,1.8775799137571567,1.7207508217640846,1.5927010733233649
300.0,2.3683439373586865,2.113123300350649,1.9132204470635312,1.7529435535730602,1.62202647737753
305.0,2.4133406569141473,2.1528399393046445,1.9487949727173683,1.7850994198760046,1.6513269381144948
310.0,2.458245248654101,2.192459265131003,1.984296256681899,1.8172115959114374,1.6805987151917081
315.0,2.503060997924926,2.2319801056381974,2.019718221184498,1.8492733639351846,1.7098377519348151
320.0,2.5477914996343634,2.2714023588224825,2.0550559639677557,1.8812783064074787,1.7390397337284682
325.0,2.592440570390238,2.310726700369857,2.0903057205810285,1.9132204470635312,1.7682001574593558
330.0,2.637012051994873,2.3499545531023514,2.1254647901488792,1.9450943899879582,1.7973144272011614
335.0,2.6815097284781353,2.3890877676638724,2.1605314057356497,1.9768954049209486,1.8263779553542705
340.0,2.7259374977101634,2.4281285852583867,2.1955046189417864,2.008619475724185,1.8553862583012797
345.0,2.7702989434016616,2.467079539369261,2.2303842445827105,2.0402633203764453,1.884335075947817
350.0,2.814597738839029,2.505943387312009,2.2651706139208927,2.07182437485066,1.9132204470635308
,
