=========== Design Variables ===========
 NAME VALUE MINIMUM MAXIMUM DESCRIPTION 
========================================
""
PengInOx vs Pc,
PengInOx,PengInFuel = 250,PengInFuel = 275,PengInFuel = 300,PengInFuel = 325,PengInFuel = 350
250.0,138.13405863012488,141.7273300840753,144.54404204971289,146.83410337994317,148.7643756910912
255.0,139.258825173145,143.01345900087378,145.96072249615435,148.34765953181417,150.35192204960492
260.0,140.34357117703405,144.25647366623792,147.33781418763368,149.82540676133783,151.90618607941994
265.0,141.39112933798535,145.45764284763098,148.67559107681558,151.26762144455392,153.42758629726853
270.0,142.40428732731095,146.61852083779118,149.97442643840455,152.6745590145159,154.91650007230268
275.0,143.38567337198864,147.74092270378836,151.23482956372956,154.04644880941441,156.3732660138136
280.0,144.33773658500718,148.82683119503324,152.4574827894863,155.3835232584246,157.79819152530663
285.0,145.26272313168255,149.87834705502303,153.64326657275387,156.68603270313693,159.19153235264653
290.0,146.1626404855505,150.89760815587485,154.79325886274356,157.95428878995384,160.55352109538427
295.0,147.03929981890002,151.88672227913673,155.90872935091562,159.18868903227633,161.8843828779118
300.0,147.89430550449143,152.8477325255452,156.99110372268345,160.3897410216726,163.18432696785356
305.0,148.7290879522951,153.782550691982,158.04192126031018,161.55808448593018,164.45358617736167
310.0,149.54491927832,154.69297686180468,159.06280732589227,162.6944914047595,165.69242444895056
315.0,150.34291656570295,155.58065194422596,160.05540642775205,163.79988107170098,166.90116409519382
320.0,151.12407890185102,156.447087065615,161.02135802918912,164.8752834894775,168.0801996169023
325.0,151.88930558778708,157.29363465942603,161.96226076129975,165.9218502049632,169.23001456753644
330.0,152.6393933485777,158.1215429811128,162.8796504586723,166.9408004941502,170.35118626478985
335.0,153.37504945931127,158.9319151299503,163.77496822616496,167.93341338555868,171.4443868580258
340.0,154.0969314270137,159.7257488179966,164.64955854496162,168.9009826534803,172.51039764636042
345.0,154.8056064477974,160.50394697475693,165.5046926376408,169.8448083712884,173.55007071720468
350.0,155.50161305940367,161.26733003137429,166.3415082723731,170.7661665883114,174.56434010240406
,
