======================= Design Variables ========================
        NAME VALUE MINIMUM MAXIMUM DESCRIPTION                   
 deltaVReqmt  3000    2000    4000 Delta V Requirement  (ft/sec) 
    Wpayload   100      50     150 Payload Mass  (lbm)           
    pcentACS     5       0      10 % ACS Propellant of Total     
=================================================================
""
Isp vs massFraction,
Isp,GLOW = 1000,GLOW = 1500,GLOW = 2000
250.0,0.3607806264324332,0.3478955815917042,0.34179213322731394
252.0,0.358439031945619,0.3456376143506647,0.33957377867200994
254.0,0.35612717719135883,0.3434083246912063,0.3373835985733687
256.0,0.3538445098414986,0.34120718001210376,0.33522106967463144
258.0,0.3515904908291127,0.33903366049973294,0.33308568128228505
260.0,0.34936459396590436,0.3368872587591335,0.3309769349035968
262.0,0.3471663055721519,0.3347674794571707,0.32889434389603517
264.0,0.34499512411876204,0.33267383897737,0.32683743312816194
266.0,0.3428505598810013,0.33060586508601614,0.3248057386515862
268.0,0.34073213460349444,0.3285630966091138,0.32279880738359434
270.0,0.3386393811760931,0.32654508311983305,0.32081619680007695
272.0,0.3365718433202322,0.32455138463606503,0.3188574746383916
274.0,0.334529075285402,0.3225815713277353,0.3169222186098105
276.0,0.3325106415553815,0.3206352232335287,0.3150101250788645
278.0,0.33051611656389124,0.31871192998669573,0.3131205771253896
280.0,0.3285450844193303,0.31681129054962176,0.3112532855893444
282.0,0.3265971386382825,0.31493291295684983,0.30940786537998866
284.0,0.3246718818874822,0.3130764140662625,0.30758394007514256
286.0,0.32276892573394433,0.3112414193181355,0.30578114168446974
288.0,0.32088789040297305,0.30942756250178927,0.3039991104202253
290.0,0.3190284045437756,0.30763448552957334,0.30223749447520715
292.0,0.31719010500241324,0.30586183821792734,0.30049594980765865
294.0,0.31537263660183856,0.30410927807527344,0.2987741399328857
296.0,0.31357565192877,0.302376588159043,0.2970717357213488
298.0,0.3117988111271698,0.3006632083462694,0.29538841520301273
300.0,0.3100417816980939,0.29896893238179206,0.2937238633777323
302.0,0.3083042383057006,0.29729344654775225,0.29207777203147106
304.0,0.3065858625891978,0.2956364438522462,0.29044983955814857
306.0,0.3048863429805339,0.293997623853528,0.28883977078692685
308.0,0.30320537452763086,0.2923766924895561,0.28724727681474765
310.0,0.3015426587229727,0.29077336191270464,0.28567207484394375
312.0,0.2998979033373667,0.28918735032946236,0.28411388802475007
314.0,0.2982708222587016,0.2876183818449511,0.28257244530254955
316.0,0.29666113533553734,0.2860661863121005,0.28104748126969414
318.0,0.295068568225358,0.28453049918532203,0.27953873602174656
320.0,0.29349285224733707,0.2830110613785323,0.27804595501799334
322.0,0.29193372423945885,0.2815076191273794,0.2765688889460884
324.0,0.2903909264198556,0.28001992385552926,0.2751072935906874
326.0,0.2888642062522162,0.2785477320448853,0.27366092970594025
328.0,0.2873533163151333,0.27709080510959877,0.2722295628917156
330.0,0.28585801417525886,0.27564890927375646,0.27081296347343203
332.0,0.2843780622641411,0.2742218154526152,0.2694109063853771
334.0,0.28291322775862404,0.27280929913727325,0.2680231710574021
336.0,0.2814632824646907,0.27141114028266267,0.26664954130487906
338.0,0.28002800270464023,0.27002712319875516,0.2652898052218153
340.0,0.27860716920748874,0.2686570364448762,0.263943755077022
342.0,0.2772005670024887,0.26730067272702984,0.2626111872132403
344.0,0.27580798531566963,0.265957828798131,0.26129190194912344
346.0,0.27442921746929855,0.26462830536105864,0.25998570348399147
348.0,0.27306419986642766,0.2633119069744341,0.25869239980526215
350.0,0.2717124583720239,0.2620084419610404,0.25741180259847657
,
