===================== Design Variables =====================
 NAME VALUE MINIMUM MAXIMUM DESCRIPTION                     
   Pc  2000     500    3000 Engine Chamber Pressure  (psia) 
 Diam    78      56      84 Stage Diameter  (in)            
  eps   100      50     200 Engine Area Ratio               
============================================================
""
Pc,sysMassK
500.0,33.281162136054
550.0,33.113366849498995
600.0,32.989063014114
650.0,32.890838891073
700.0,32.811436358887
750.0,32.746050845564
800.0,32.691394416674
850.0,32.645142258614
900.0,32.605604694947
950.0,32.5715243805912
1000.0,32.5419464290361
1050.0,32.5161326089746
1100.0,32.4935031566289
1150.0,32.4735963747256
1200.0,32.4560399769983
1250.0,32.440530397584105
1300.0,32.4268175946675
1350.0,32.4146937129632
1400.0,32.4039845184941
1450.0,32.3945428401194
1500.0,32.3862434893585
1550.0,32.378979287417906
1600.0,32.3726579253967
1650.0,32.3671994603816
1700.0,32.362534302086694
1750.0,32.3586015836003
1800.0,32.355347828292196
1850.0,32.352725858998596
1900.0,32.3506938909468
1950.0,32.3492147814462
2000.0,32.3482554012559
2050.0,32.347786103245504
2100.0,32.3477802782185
2150.0,32.348213973017195
2200.0,32.3490655681767
2250.0,32.3503155014755
2300.0,32.3519460263956
2350.0,32.3539410106253
2400.0,32.356285754824604
2450.0,32.3589668389125
2500.0,32.3619719871157
2550.0,32.3652899488826
2600.0,32.368910396364804
2650.0,32.372823832687395
2700.0,32.3770215106349
2750.0,32.3814953635985
2800.0,32.3862379390652
2850.0,32.391242346549596
2900.0,32.3965022035317
2950.0,32.4020115938148
3000.0,32.4077650260269
