==================== Design Variables =====================
       NAME VALUE MINIMUM MAXIMUM DESCRIPTION              
  pcentBell    70      70      90 Percent Bell of Nozzle   
 LinjToExit     7       6       9 Lprime + Lnoz  (in)      
         pc   500     300     500 Chamber Pressure  (psia) 
===========================================================
""
Lprime vs pcentFFC,
Lprime,ko = 0.035,ko = 0.04,ko = 0.045,ko = 0.05
1.0,8.590867693797644,9.84242273643411,11.09965481307631,12.362415786453395
1.1,9.459990273089113,10.84045200285254,12.227633803035786,13.621330979322599
1.2000000000000002,10.33055274918957,11.840470394729575,13.358199798642268,14.883470146481038
1.3000000000000003,11.20244937402325,12.842331521187667,14.491160963484917,16.14858187101301
1.4000000000000004,12.075568192029696,13.845886900063785,15.62631875390197,17.416405892322572
1.5000000000000004,12.949795344587201,14.850982113670774,16.763467901277185,18.68667313972083
1.6000000000000005,13.825012358086063,15.857457428060407,17.902396206745163,19.959105549600675
1.7000000000000006,14.701096518550216,16.865147610369725,19.042884377658797,21.233415952625535
1.8000000000000007,15.577920688799606,17.873881746804354,20.184705853102734,22.509307921515408
1.9000000000000008,16.455353241576777,18.883483198731877,21.32762681547883,23.786476039847905
2.000000000000001,17.333256690401335,19.893768047665827,22.47140445149034,25.064603771145443
,
