==================== Design Variables =====================
       NAME VALUE MINIMUM MAXIMUM DESCRIPTION              
 LinjToExit     7       6       9 Lprime + Lnoz  (in)      
         ko 0.035   0.035    0.05 Entrainment Constant     
         pc   500     300     500 Chamber Pressure  (psia) 
===========================================================
""
Lprime vs IspDel,
Lprime,pcentBell = 60,pcentBell = 70,pcentBell = 80
1.0,296.6628953435919,296.7661284421748,295.70143439645807
1.1,297.7461736290951,297.8280670182667,296.7567032645428
1.2000000000000002,298.3728707997003,298.4309607828662,297.35265843036063
1.3000000000000003,298.67659233368875,298.7088550089963,297.62364404845994
1.4000000000000004,298.7435051516704,298.748128560466,297.65769648055505
1.5000000000000004,298.6340443160631,298.61003726907524,297.50244640570907
1.6000000000000005,298.3853630186082,298.3320276510445,297.20626891490934
1.7000000000000006,298.02158796193953,297.94541205259986,296.8004803526793
1.8000000000000007,297.5441971530956,297.46984204500603,296.30466873522266
1.9000000000000008,296.99118790239856,296.91986531940194,295.73383471036846
2.000000000000001,296.3760599154863,296.30708048934025,295.09917765224674
,
