============================== Design Variables ===============================
        NAME VALUE MINIMUM MAXIMUM DESCRIPTION                                 
     ItotACS  6518    4000    8000 Total Impulse of ACS Engines  (lbf-sec)     
     mrAxial  1.75     1.5     1.9 Divert Engine Mixture Ratio                 
 ItotDescent 46067   20000   50000 Total Impulse of Descent Engines  (lbf-sec) 
   LengLimit    13      10      15 Engine Length Limit  (in)                   
     PmaxGas  4500    4000    6000 Helium Max Bottle Pressure  (psia)          
===============================================================================
""
PcAxial,dPinjector,dPvlvOx,dPvlvFuel,dpBalOrificeACS
150.0,75.0,82.38297157808145,42.40995414889301,0.0
170.0,85.0,84.87583268237833,43.693254849361004,0.0
190.0,95.0,84.07001838337058,43.278429469566916,0.0
210.0,105.0,83.41354410055123,42.94048288059366,28.502989345995275
230.0,115.0,82.85927452865168,42.65515028479006,58.90961932128084
250.0,125.0,82.38297157808145,42.40995414889301,89.39421591789574
270.0,135.0,81.96782662557915,42.196241556794035,119.93997051257861
290.0,145.0,81.6017559492658,42.007791925756045,150.53479938345038
310.0,155.0,81.27580230365434,41.839994152742385,181.16974528502408
330.0,165.0,80.98314348795874,41.689336235005676,211.8379860165137
350.0,175.0,80.71889784785472,41.55330514428159,242.53463992359468
370.0,185.0,80.55221810061933,41.467500028219455,273.3288597235445
390.0,195.0,80.52027527000305,41.45105616905931,304.2578164401133
