=========== Design Variables ===========
 NAME VALUE MINIMUM MAXIMUM DESCRIPTION 
========================================
""
Temperature,IRFNA,N2O4,MON15,MON25,H2O,MMH
384.67,109.18363891868515,117.58025876303496,105.47707012374511,99.80752276818632,68.04137186498514,61.1528402413883
389.55095,108.97538988853739,116.0119086316626,105.01003304879417,98.47704842003232,67.90066904052583,60.377339048439254
394.4319,108.67279867194384,114.46962474127052,104.54628603657366,97.17948537886912,67.76558164993958,59.62067292892421
399.31284999999997,108.28611930528278,112.96506920602964,104.0849787351558,95.91362717231509,67.63556836942973,58.882151538450124
404.19379999999995,107.90931123213564,111.49687563543428,103.62528996640177,95.4932032154763,67.51009787947652,58.64294922079999
409.07474999999994,107.54162408420177,110.06374285061423,103.16642708891,95.20432062121951,67.38864809392484,58.48390834599999
413.9556999999999,107.18232899564785,108.66443103978632,102.70762549286135,94.91103132109488,67.27070548009,58.324867471199994
418.8366499999999,106.83071735609188,107.29775818252214,102.24814821536931,94.61333531510238,67.15576446571237,58.165826596399995
423.7175999999999,106.4860996811524,105.96259672115686,101.7872856654276,94.31123260324202,67.04332692903046,58.0067857216
428.5985499999999,106.1478045929752,104.65787045963695,101.32435544795653,94.00472318551384,66.9329017686168,57.8477448468
433.47949999999986,105.81517790381744,103.3825516718808,100.85870227678704,93.6938070619178,66.8240045499363,57.688703972
438.36044999999984,105.4875817963561,102.13565840332194,100.38969796670726,93.37848423245391,66.7161572258497,57.5296630972
443.2413999999998,105.16439409490657,100.91625195074386,99.91674149493491,93.05875469712221,66.6088879284942,57.3706222224
448.1223499999998,104.84500762219193,99.72343450681286,99.43925912258597,92.73461845592263,66.50173083013715,57.2115813476
453.0032999999998,104.528829636702,98.55634695688663,98.95670456688897,92.40607550885521,66.39422607071789,57.052540472800004
457.8842499999998,104.21528134602787,97.41416681673665,98.44564821870854,92.07312585591994,66.28591974986878,56.893499598000005
462.76519999999977,103.90379749185692,96.29610630077933,97.91091451929515,91.73576949711683,66.17636398124579,56.7344587232
467.64614999999975,103.59382600257209,95.19323053273267,97.37563712945854,91.39400643244586,66.03334367045083,56.5754178484
472.52709999999973,103.28482770961743,94.46752881614816,96.83940575169575,91.04783666190707,65.83463865561697,56.4163769736
477.4080499999997,102.97627612397763,94.08940544521288,96.30183092738561,90.69726018550043,65.64015977583114,56.2573360988
482.2889999999997,102.66765726927211,93.71083901672512,95.7625438099729,90.34227700322592,65.44963035588677,56.098295224000005
487.1699499999997,102.35846956809019,93.33182953068491,95.22119596292933,89.98288711508357,65.26278045373377,55.939254349200006
492.0508999999997,102.02152231411614,92.95237698709224,94.6774591780769,89.61909052107337,65.07934652945339,55.78021347439999
496.93184999999966,101.65051372189444,92.57248138594709,94.1310253100656,89.25088722119533,64.89907114086013,55.621172599599994
501.81279999999964,101.28364999515084,92.19214272724949,93.581606122995,88.87827721544946,64.72170266425958,55.462131724799995
506.6937499999996,100.92055404866281,91.81136101099945,93.02893314536618,88.50126050383574,64.54699503900201,55.30309085
511.5746999999996,100.56085901168868,91.4301362371969,92.47275752974262,88.11983708635415,64.3747075345706,55.14404997520001
516.4556499999997,100.20420789932398,91.04846840584193,91.91284991369284,87.73400696300472,64.20460453903365,54.98500910040001
521.3365999999996,99.85025331450069,90.66635751693448,91.34900027878125,87.34377013378744,64.0364553677696,54.825968225600015
526.2175499999996,99.49865717877813,90.28380357047456,90.7810178045698,86.94912659870232,63.870034091446236,54.666927350800016
531.0984999999996,99.14909049017822,89.90080656646217,90.2087307147928,86.55007635774936,63.70511938229957,54.50788647600002
535.9794499999996,98.80123310641258,89.51736650489734,89.66365344415196,86.14661941092857,63.54149437781462,54.34884560120001
540.8603999999996,98.4547735519338,89.13348338578001,89.1106958412665,85.73875575823992,63.37894656096146,54.18980472640001
545.7413499999996,98.109408847318,88.74915720911025,88.54830325428341,85.3264853996834,63.217267656184134,54.03076385160001
550.6222999999995,97.76484435955483,88.36438797488802,87.97640941483023,84.90980833525904,63.056253540378854,53.87172297680001
555.5032499999995,97.42079367188074,87.97917568311331,87.39497449074565,84.48872456496686,62.895704168132845,53.71268210200001
560.3841999999995,97.0769784718459,87.59352033378616,86.8039849060837,84.06323408880685,62.73542351052297,53.55364122720001
565.2651499999995,96.73312845635364,87.20742192690656,86.20345309631816,83.63333690677894,62.57521950680022,53.39460035240001
570.1460999999995,96.38898125245466,86.82088046247446,85.5934171971063,83.1990330188832,62.41490402830546,53.235559477600006
575.0270499999995,96.04428235271664,86.43389594048993,84.97394066551287,82.76032242511963,62.25429285398081,53.07651860280001
579.9079999999994,95.69878506402517,86.04646836095291,84.34511183314393,82.31720512548819,62.09320565685465,52.91747772800001
584.7889499999994,95.3522504687026,85.29473218793787,83.70704339119511,81.86968111998891,61.91405764245823,52.75843685320001
589.6698999999994,94.99574054356809,84.5496349337019,83.0598718079734,81.41775040862179,61.71806412965921,52.59939597840001
