===================== Design Variables =====================
 NAME VALUE MINIMUM MAXIMUM DESCRIPTION                     
   Pc  2000     500    3000 Engine Chamber Pressure  (psia) 
 Diam    78      56      84 Stage Diameter  (in)            
  eps   100      50     200 Engine Area Ratio               
============================================================
""
eps,sysMassK
50.0,33.658150784331
55.0,33.423623237885394
60.0,33.257222445772
65.0,33.1059055057257
70.0,32.968510014038195
75.0,32.842973836915206
80.0,32.7276853477018
85.0,32.621338525078
90.0,32.5228617301781
95.0,32.4313653382673
100.0,32.346103171205
105.0,32.2664435843626
110.0,32.191847453085195
115.0,32.1218511799753
120.0,32.056053415315205
125.0,31.994104557181196
130.0,31.9356983685257
135.0,31.8805652167062
140.0,31.8284665740115
145.0,31.779190512761904
150.0,31.7325479804389
155.0,31.688369705870997
160.0,31.646503607956898
165.0,31.6068126137544
170.0,31.569172812452997
175.0,31.533471883603802
180.0,31.499607753119204
185.0,31.4674874391369
190.0,31.4370260547518
195.0,31.408145944898997
200.0,31.380775935753203
