=================== Design Variables ====================
   NAME VALUE MINIMUM MAXIMUM DESCRIPTION                
 deltaP   200     100     500 Pump Pressure Rise  (psid) 
    rpm 10000   10000   50000 Pump Speed  (rpm)          
   wdot     1     0.5       3 Pump Flow Rate  (lbm/sec)  
=========================================================
""
deltaP,effCalc
100.0,0.5305347657644689
120.0,0.5133155015696031
140.0,0.4971030707371182
160.0,0.4837350665559485
180.0,0.47255030390076036
200.0,0.4592282497923109
220.0,0.43985581465291673
240.0,0.42137258695410856
260.0,0.4039289600697398
280.0,0.38755551289768
300.0,0.3722236354030161
320.0,0.35787690800858374
340.0,0.3444475855651258
360.0,0.3318652594433105
380.0,0.32006131945434774
400.0,0.30897112841579133
420.0,0.29853494506110995
440.0,0.29038733926046145
460.0,0.2829988552337955
480.0,0.27610371153832397
500.0,0.2696514033575713
