======================= Design Variables ========================
        NAME VALUE MINIMUM MAXIMUM DESCRIPTION                   
 deltaVReqmt  3000    2000    4000 Delta V Requirement  (ft/sec) 
    Wpayload   300     250     450 Payload Mass  (lbm)           
    pcentACS     5       0      10 % ACS Propellant of Total     
=================================================================
""
Isp vs massFraction,
Isp,GLOW = 600,GLOW = 900,GLOW = 1200
250.0,0.6494051680157918,0.48705387549593576,0.43293677804307673
252.0,0.645190300633556,0.4838927250318708,0.4301268664825191
254.0,0.641028964877076,0.48077172327772566,0.4273526426590488
256.0,0.6369201665526323,0.47769012458928334,0.42461344377750176
258.0,0.6328629353367717,0.4746472012248981,0.42190862295613
260.0,0.628856324087623,0.4716422428289973,0.4192375487674902
262.0,0.6248994081787949,0.46867455593251334,0.4165996047943876
264.0,0.6209912848550683,0.4657434634696642,0.41399418920034536
266.0,0.6171310726091096,0.4628483043104979,0.4114207143140903
268.0,0.6133179105784665,0.459988432808647,0.40887860622755623
270.0,0.6095509579621282,0.4571632183637578,0.4063673044069331
272.0,0.6058293934559658,0.45437204499807693,0.40388626131629746
274.0,0.6021524147063815,0.45161431094669596,0.40143494205338687
276.0,0.5985192377815293,0.44888942826097183,0.399012823997082
278.0,0.5949290966594872,0.4461968224246622,0.3966193964661957
280.0,0.5913812427327856,0.44353593198232627,0.3942541603891594
282.0,0.587874944328717,0.44090620817956244,0.3919166279842351
284.0,0.5844094862448765,0.43830711461466726,0.38960632244987725
286.0,0.5809841692993958,0.4357381269013133,0.3873227776648911
288.0,0.5775983098953581,0.4331987323418671,0.38506553789804626
290.0,0.5742512395989043,0.4306884296109682,0.3828341575268143
292.0,0.5709423047305464,0.4282067284490187,0.3806282007649133
294.0,0.5676708659692334,0.4257531493652358,0.37844724139835356
296.0,0.5644362979687275,0.42332722334993356,0.37629086252968896
298.0,0.5612379889858636,0.42092849159572265,0.374158656330191
300.0,0.5580753405202827,0.41855650522730986,0.37205022379967173
302.0,0.5549477669652433,0.4162108250396087,0.3699651745336923
304.0,0.5518546952691313,0.4138910212438743,0.3679031264979032
306.0,0.5487955646073034,0.411596673221585,0.36586370580927274
308.0,0.5457698260639046,0.40932736928580893,0.36384654652396786
310.0,0.5427769423233301,0.40708270644979994,0.3618512904316597
312.0,0.5398163873709956,0.4048622902025759,0.3598775868560387
314.0,0.5368876462031024,0.4026657342912446,0.35792509246132487
316.0,0.5339902145450987,0.40049266050984883,0.3559934710645738
318.0,0.531123598578535,0.39834269849450993,0.35408239345358233
320.0,0.5282873146760422,0.39621548552466,0.35219153721020485
322.0,0.5254808891441511,0.39411066633015857,0.35032058653890136
324.0,0.5227038579736973,0.39202789290409584,0.3484692321003398
326.0,0.5199557665975585,0.38996682432109575,0.34663717084988777
328.0,0.5172361696554789,0.38792712656093553,0.34482410588082757
330.0,0.5145446307657487,0.38590847233730385,0.3430297462721437
332.0,0.5118807223035107,0.38391054093153226,0.34125380694072577
334.0,0.5092440251854796,0.3819330180311334,0.3394960084978484
336.0,0.5066341286608589,0.37997559557299104,0.3377560771097829
338.0,0.504050630171487,0.37803797159104763,0.3360337443624086
340.0,0.5014931348434896,0.37611985006834486,0.3343287471296938
342.0,0.4989612559024179,0.37422094079327645,0.3326408274459186
344.0,0.49645461388582557,0.37234095921991534,0.33096973238152355
346.0,0.49397283682775484,0.3704796263322874,0.32931521392246066
348.0,0.4915155598436172,0.3686366685124604,0.3276770288529419
350.0,0.48908242515621253,0.36681181741233077,0.32605493864147017
,
