============================== Design Variables ===============================
        NAME VALUE MINIMUM MAXIMUM DESCRIPTION                                 
     ItotACS  6518    4000    8000 Total Impulse of ACS Engines  (lbf-sec)     
     mrAxial  1.75     1.5     1.9 Divert Engine Mixture Ratio                 
 ItotDescent 46067   20000   50000 Total Impulse of Descent Engines  (lbf-sec) 
   LengLimit    13      10      15 Engine Length Limit  (in)                   
     PmaxGas  4500    4000    6000 Helium Max Bottle Pressure  (psia)          
===============================================================================
""
PcAxial,feedMass,engMass,tankMass
150.0,1.5762941139386781,13.847553858132157,22.57059192873404
170.0,1.5762941139386781,13.244760259327705,22.514315101849903
190.0,1.5762941139386781,12.747289425959554,22.468221009280988
210.0,1.5762941139386781,12.372693580462535,22.701946732378673
230.0,1.5762941139386781,12.083744044943646,22.95965510526144
250.0,1.5762941139386781,11.856444048751106,23.223110812397678
270.0,1.5762941139386781,11.674714597415305,23.49163430938335
290.0,1.5762941139386781,11.527429491820183,24.02674882727626
310.0,1.5762941139386781,11.406677732312222,24.367062242704804
330.0,1.5762941139386781,11.306706805591737,25.153724477597766
350.0,1.5762941139386781,11.137786989490152,26.100554119358414
370.0,1.5762941139386781,10.864460384464595,27.06764546296722
390.0,1.5762941139386781,10.627371435614553,28.042009868951183
