================== Design Variables ==================
  NAME VALUE MINIMUM MAXIMUM DESCRIPTION              
 Wmatl    10       8      12 Width of Material  (in)  
 Lmatl    20      10      30 Length of Material  (in) 
======================================================
""
hbox,LoverW
0.2,2.041666666666667
0.38,2.0822510822510822
0.56,2.126126126126126
0.74,2.1737089201877935
0.9199999999999999,2.2254901960784315
1.0999999999999999,2.282051282051282
1.2799999999999998,2.3440860215053765
1.4599999999999997,2.4124293785310735
1.6399999999999997,2.4880952380952377
1.8199999999999996,2.5723270440251564
1.9999999999999996,2.666666666666666
2.1799999999999997,2.7730496453900706
2.36,2.893939393939394
2.54,3.032520325203252
2.72,3.192982456140351
2.9000000000000004,3.3809523809523814
3.0800000000000005,3.6041666666666674
3.2600000000000007,3.8735632183908058
3.440000000000001,4.205128205128206
3.620000000000001,4.623188405797104
3.800000000000001,5.166666666666671
