=================== Design Variables ===================
  NAME   VALUE MINIMUM MAXIMUM DESCRIPTION              
  hbox 2.11325     0.2     3.8 Height of Box  (in)      
 Wmatl      10       8      12 Width of Material  (in)  
 Lmatl      20      10      30 Length of Material  (in) 
========================================================
""
hbox,Volume
0.2,37.632
0.38,67.555488
0.56,93.886464
0.74,116.76489599999998
0.9199999999999999,136.330752
1.0999999999999999,152.72400000000002
1.2799999999999998,166.08460799999997
1.4599999999999997,176.55254399999998
1.6399999999999997,184.26777599999997
1.8199999999999996,189.37027199999997
1.9999999999999996,191.99999999999997
2.1799999999999997,192.296928
2.36,190.401024
2.54,186.452256
2.72,180.590592
2.9000000000000004,172.956
3.0800000000000005,163.688448
3.2600000000000007,152.92790399999996
3.440000000000001,140.8143359999999
3.620000000000001,127.48771199999992
3.800000000000001,113.08799999999992
