=================== Design Variables ====================
   NAME VALUE MINIMUM MAXIMUM DESCRIPTION                
 deltaP   200     100     500 Pump Pressure Rise  (psid) 
    rpm 10000   10000   50000 Pump Speed  (rpm)          
   wdot     1     0.5       3 Pump Flow Rate  (lbm/sec)  
=========================================================
""
wdot,effCalc
0.5,0.3475222616366505
0.6,0.3770092915299913
0.7,0.40216418999431097
0.7999999999999999,0.4238696967853137
0.8999999999999999,0.44274118489315917
0.9999999999999999,0.4592282497923109
1.0999999999999999,0.4709409172331905
1.2,0.47834742294360183
1.3,0.48534224321557984
1.4000000000000001,0.49197166018339117
1.5000000000000002,0.49827382659833724
1.6000000000000003,0.5042806371434819
1.7000000000000004,0.5100190796491306
1.8000000000000005,0.5155122326998831
1.9000000000000006,0.5207800165768658
2.0000000000000004,0.5258397682323509
2.1000000000000005,0.5307066882244952
2.2000000000000006,0.5353941928350615
2.3000000000000007,0.5399141948606888
2.400000000000001,0.5442773299845873
2.500000000000001,0.5484931410934836
2.600000000000001,0.5520682731840576
2.700000000000001,0.5549475927586989
2.800000000000001,0.5577566181173764
2.9000000000000012,0.5604990852805354
3.0000000000000013,0.5631784095707003
