=================== Design Variables ====================
   NAME VALUE MINIMUM MAXIMUM DESCRIPTION                
 deltaP   200     100     500 Pump Pressure Rise  (psid) 
    rpm 10000   10000   50000 Pump Speed  (rpm)          
   wdot     1     0.5       3 Pump Flow Rate  (lbm/sec)  
=========================================================
""
eff,effCalc
0.01,0.4592282497923109
0.030199999999999998,0.4592282497923109
0.0504,0.4592282497923109
0.0706,0.4592282497923109
0.09079999999999999,0.4592282497923109
0.11099999999999999,0.4592282497923109
0.13119999999999998,0.4592282497923109
0.15139999999999998,0.4592282497923109
0.17159999999999997,0.4592282497923109
0.19179999999999997,0.4592282497923109
0.21199999999999997,0.4592282497923109
0.23219999999999996,0.4592282497923109
0.25239999999999996,0.4592282497923109
0.27259999999999995,0.4592282497923109
0.29279999999999995,0.4592282497923109
0.31299999999999994,0.4592282497923109
0.33319999999999994,0.4592282497923109
0.35339999999999994,0.4592282497923109
0.37359999999999993,0.4592282497923109
0.39379999999999993,0.4592282497923109
0.4139999999999999,0.4592282497923109
0.4341999999999999,0.4592282497923109
0.4543999999999999,0.4592282497923109
0.4745999999999999,0.4592282497923109
0.4947999999999999,0.4592282497923109
0.5149999999999999,0.4592282497923109
0.5351999999999999,0.4592282497923109
0.5553999999999999,0.4592282497923109
0.5755999999999999,0.4592282497923109
0.5957999999999999,0.4592282497923109
0.6159999999999999,0.4592282497923109
0.6361999999999999,0.4592282497923109
0.6563999999999999,0.4592282497923109
0.6765999999999999,0.4592282497923109
0.6967999999999999,0.4592282497923109
0.7169999999999999,0.4592282497923109
0.7371999999999999,0.4592282497923109
0.7573999999999999,0.4592282497923109
0.7775999999999998,0.4592282497923109
0.7977999999999998,0.4592282497923109
0.8179999999999998,0.4592282497923109
0.8381999999999998,0.4592282497923109
0.8583999999999998,0.4592282497923109
0.8785999999999998,0.4592282497923109
0.8987999999999998,0.4592282497923109
0.9189999999999998,0.4592282497923109
0.9391999999999998,0.4592282497923109
0.9593999999999998,0.4592282497923109
0.9795999999999998,0.4592282497923109
0.9997999999999998,0.4592282497923109
