=========== Design Variables ===========
 NAME VALUE MINIMUM MAXIMUM DESCRIPTION 
========================================
""
PHe,HeMass,HeTankMass,HeSysMass
500.0,25.735709353315478,456.1377893206213,481.8734986739368
700.0,22.391977689413054,394.26756367254734,416.6595413619604
900.0,20.88636642694868,367.1919042427952,388.07827066974386
1100.0,20.03042436905328,352.6773747386023,372.70779910765555
1300.0,19.478517765259706,344.1258514870897,363.6043692523494
1500.0,19.093229158307288,338.87556738207223,357.9687965403795
1700.0,18.80909469125303,335.6442004759841,354.4532951672372
1900.0,18.59096364378971,333.7370519655792,352.32801560936895
2100.0,18.418274810175195,332.74482671593057,351.1631015261058
2300.0,18.278199711923122,332.4106540285589,350.68885374048205
2500.0,18.162320407231334,332.5651630704955,350.7274834777268
2700.0,18.0648844197248,333.09215335115334,351.15703777087816
2900.0,17.981827384141518,333.9082309913363,351.89005837547785
3100.0,17.910196308527055,334.9429585608008,352.85315486932785
3300.0,17.8477941333607,336.162481668557,354.0102758019177
3500.0,17.792952483551502,337.5328722688372,355.3258247523887
3700.0,17.74438173613249,339.0278691251299,356.77225086126236
3900.0,17.70106936404798,340.6268320836481,358.32790144769604
4100.0,17.66220934642598,342.3133177768321,359.9755271232581
4300.0,17.627152106944727,344.07406718319953,361.70121929014425
4500.0,17.595368338353726,345.89827253372476,363.4936408720785
4700.0,17.566422418566816,347.7770376353134,365.3434600538802
4900.0,17.53995257733817,349.7029746150782,367.24292719241635
5100.0,17.515655895117586,351.6698985046918,369.18555439980935
5300.0,17.493276814381364,353.67259306579035,371.1658698801717
5500.0,17.47259824013804,355.70662920962405,373.1792274497621
5700.0,17.45343457361558,357.7682227384969,375.2216573121125
5900.0,17.435626206426488,359.85412182917275,377.28974803559925
6100.0,17.4190351301318,361.96151725446794,379.38055238459975
6300.0,17.40354140625336,364.0879701615458,381.49151156779914
6500.0,17.389040306268665,366.2313535313644,383.62039383763306
6700.0,17.375439977822786,368.3898043908101,385.7652443686329
6900.0,17.36265952759462,370.5616845436365,387.92434407123113
7100.0,17.350627436567578,372.7455481009844,390.09617553755197
7300.0,17.33928024237524,374.940114477362,392.27939471973724
7500.0,17.32856143766239,377.14424580871196,394.4728072463744
7700.0,17.318420544259673,379.3569279706116,396.67534851487125
7900.0,17.308812331297307,381.5772545445785,398.8860668758758
